audio_file|text|speaker_name
1_vago_finetune2.wav|hasonló helyzetbe kerülnek, és ha a TASZ is úgy ítéli meg, hogy önöknek igazuk van, akkor szerintem érdemes őket támogatni.|istvan_vago
2_vago_finetune2.wav|Ennyivel kompenzálni tudom az ő szolgáltatásaikat, akkor én szerintem ez több mint méltányos. Arra bíztatom önöket is, hogyha...|istvan_vago
3_vago_finetune2.wav|A személyi jöveledelem adóm egy százalékát, hogyha átutalom, az nekik pontosan elég.|istvan_vago
4_vago_finetune2.wav|És amikor kérdeztem, hogy hogyan tudnám én ezt kompenzálni, hiszen rengeteg munkájuk van benne, hogy engem ezen a...|istvan_vago
5_vago_finetune2.wav|Röviden TASZ, és elvállalták az ügyemet. Ingyen és bérmentve!|istvan_vago
6_vago_finetune2.wav|És az a szerencsre jutott osztály részemül, hogy az álláspontommal egyetértett a társaság a szabadságjogókért is.|istvan_vago
7_vago_finetune2.wav|Engem nem olyan régen, úgy érzem, méltánydalanság ért egy véleményért, az én véleményemért bepereltek.|istvan_vago
vago_vagott_01.wav|Köszönöm a meghívást, és máris egy kis helyre igazítás adtegyek: Sose voltam kvizprofessor. Ez úgy történt, van ennek egy története.|istvan_vago
vago_vagott_02.wav|És én rögtön mondtam, van is ennek nyoma írásban, rögtön mondtam a producernek, hogy ez soha többet ne tegyen.|istvan_vago
vago_vagott_03.wav|Szóval a helyzet az, hogy én amióta az eszemet tudom, azóta a közélet iránt édeklődöm.|istvan_vago
vago_vagott_04.wav|Onnan elmentem két, egymás után, két kereskedelmi televízióba, ott se szerették.|istvan_vago
vago_vagott_05.wav|Tehát akkor amikor engem azzal próbálnak ostorozni, hogy na hát feltűnik a vágó a DK TV-be, hogy eddig azt játszotta, hogy ő pártatlan, játszottam.|istvan_vago
vago_vagott_06.wav|Tehát röviden ennyi, hogy a vége felé olyan szerződés közöttem a munkaadóimmal, hogy engem engedni fognak kampányolni. Engedni fognak más területen.|istvan_vago
